@relation bloodtrans_predicted

@attribute Recency(months) numeric
@attribute Frequency(times) numeric
@attribute Monetary(c.c.blood) numeric
@attribute Time(months) numeric
@attribute donatedmarch2007 numeric
@attribute predictedclass {BIG,SMALL}
@attribute class {BIG,SMALL}

@data
2,50,12500,98,1,BIG,?
0,13,3250,28,1,BIG,?
1,16,4000,35,1,BIG,?
2,20,5000,45,1,BIG,?
1,24,6000,77,0,SMALL,?
4,4,1000,4,0,BIG,?
2,7,1750,14,1,BIG,?
1,12,3000,35,0,BIG,?
2,9,2250,22,1,BIG,?
5,46,11500,98,1,BIG,?
4,23,5750,58,0,BIG,?
0,3,750,4,0,BIG,?
2,10,2500,28,1,BIG,?
1,13,3250,47,0,BIG,?
2,6,1500,15,1,BIG,?
2,5,1250,11,1,BIG,?
2,14,3500,48,1,BIG,?
2,15,3750,49,1,BIG,?
2,6,1500,15,1,BIG,?
2,3,750,4,1,BIG,?
2,3,750,4,1,BIG,?
4,11,2750,28,0,BIG,?
2,6,1500,16,1,BIG,?
2,6,1500,16,1,BIG,?
9,9,2250,16,0,BIG,?
4,14,3500,40,0,BIG,?
4,6,1500,14,0,BIG,?
4,12,3000,34,1,BIG,?
4,5,1250,11,1,BIG,?
4,8,2000,21,0,BIG,?
1,14,3500,58,0,SMALL,?
4,10,2500,28,1,BIG,?
4,10,2500,28,1,BIG,?
4,9,2250,26,1,BIG,?
2,16,4000,64,0,SMALL,?
2,8,2000,28,1,BIG,?
2,12,3000,47,1,BIG,?
4,6,1500,16,1,BIG,?
2,14,3500,57,1,SMALL,?
4,7,1750,22,1,BIG,?
2,13,3250,53,1,SMALL,?
2,5,1250,16,0,BIG,?
2,5,1250,16,1,BIG,?
2,5,1250,16,0,BIG,?
4,20,5000,69,1,SMALL,?
4,9,2250,28,1,BIG,?
2,9,2250,36,0,BIG,?
2,2,500,2,0,BIG,?
2,2,500,2,0,BIG,?
2,2,500,2,0,BIG,?
2,11,2750,46,0,BIG,?
2,11,2750,46,1,BIG,?
2,6,1500,22,0,BIG,?
2,12,3000,52,0,SMALL,?
4,5,1250,14,1,BIG,?
4,19,4750,69,1,SMALL,?
4,8,2000,26,1,BIG,?
2,7,1750,28,1,BIG,?
2,16,4000,81,0,SMALL,?
3,6,1500,21,0,BIG,?
2,7,1750,29,0,BIG,?
2,8,2000,35,1,BIG,?
2,10,2500,49,0,SMALL,?
4,5,1250,16,1,BIG,?
2,3,750,9,1,BIG,?
3,16,4000,74,0,SMALL,?
2,4,1000,14,1,BIG,?
0,2,500,4,0,BIG,?
4,7,1750,25,0,BIG,?
1,9,2250,51,0,SMALL,?
2,4,1000,16,0,BIG,?
2,4,1000,16,0,BIG,?
4,17,4250,71,1,SMALL,?
2,2,500,4,0,BIG,?
2,2,500,4,1,BIG,?
2,2,500,4,1,BIG,?
2,4,1000,16,1,BIG,?
2,2,500,4,0,BIG,?
2,2,500,4,0,BIG,?
2,2,500,4,0,BIG,?
4,6,1500,23,1,BIG,?
2,4,1000,16,0,BIG,?
2,4,1000,16,0,BIG,?
2,4,1000,16,0,BIG,?
2,6,1500,28,1,BIG,?
2,6,1500,28,0,BIG,?
4,2,500,4,0,BIG,?
4,2,500,4,0,BIG,?
4,2,500,4,0,BIG,?
2,7,1750,35,1,BIG,?
4,2,500,4,1,BIG,?
4,2,500,4,0,BIG,?
4,2,500,4,0,BIG,?
4,2,500,4,0,BIG,?
12,11,2750,23,0,BIG,?
4,7,1750,28,0,BIG,?
3,17,4250,86,0,SMALL,?
4,9,2250,38,1,BIG,?
4,4,1000,14,1,BIG,?
5,7,1750,26,1,BIG,?
4,8,2000,34,1,BIG,?
2,13,3250,76,1,SMALL,?
4,9,2250,40,0,SMALL,?
2,5,1250,26,0,BIG,?
2,5,1250,26,0,BIG,?
6,17,4250,70,0,SMALL,?
0,8,2000,59,0,SMALL,?
3,5,1250,26,0,BIG,?
2,3,750,14,0,BIG,?
2,10,2500,64,0,SMALL,?
4,5,1250,23,1,BIG,?
4,9,2250,46,0,SMALL,?
4,5,1250,23,0,BIG,?
4,8,2000,40,1,SMALL,?
2,12,3000,82,0,SMALL,?
11,24,6000,64,0,SMALL,?
2,7,1750,46,1,SMALL,?
4,11,2750,61,0,SMALL,?
1,7,1750,57,0,SMALL,?
2,11,2750,79,1,SMALL,?
2,3,750,16,1,BIG,?
4,5,1250,26,1,BIG,?
2,6,1500,41,1,SMALL,?
2,5,1250,33,1,BIG,?
2,4,1000,26,0,BIG,?
2,5,1250,34,0,BIG,?
4,8,2000,46,1,SMALL,?
2,4,1000,26,0,BIG,?
4,8,2000,48,1,SMALL,?
2,2,500,10,1,BIG,?
4,5,1250,28,0,BIG,?
2,12,3000,95,0,SMALL,?
2,2,500,10,0,BIG,?
4,6,1500,35,0,SMALL,?
2,11,2750,88,0,SMALL,?
2,3,750,19,0,BIG,?
2,5,1250,37,0,SMALL,?
2,12,3000,98,0,SMALL,?
9,5,1250,19,0,BIG,?
2,2,500,11,0,BIG,?
2,9,2250,74,0,SMALL,?
5,14,3500,86,0,SMALL,?
4,3,750,16,0,BIG,?
4,3,750,16,0,BIG,?
4,2,500,9,1,BIG,?
4,3,750,16,1,BIG,?
6,3,750,14,0,BIG,?
2,2,500,11,0,BIG,?
2,2,500,11,1,BIG,?
2,2,500,11,0,BIG,?
2,7,1750,58,1,SMALL,?
4,6,1500,39,0,SMALL,?
4,11,2750,78,0,SMALL,?
2,1,250,2,1,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,1,BIG,?
2,1,250,2,1,BIG,?
2,1,250,2,1,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
11,10,2500,35,0,SMALL,?
11,4,1000,16,1,SMALL,?
4,5,1250,33,1,SMALL,?
4,6,1500,41,1,SMALL,?
2,3,750,22,0,BIG,?
4,4,1000,26,1,BIG,?
10,4,1000,16,0,BIG,?
2,4,1000,35,0,SMALL,?
4,12,3000,88,0,SMALL,?
13,8,2000,26,0,SMALL,?
11,9,2250,33,0,SMALL,?
4,5,1250,34,0,SMALL,?
4,4,1000,26,0,BIG,?
8,15,3750,77,0,SMALL,?
4,5,1250,35,1,SMALL,?
4,7,1750,52,0,SMALL,?
4,7,1750,52,0,SMALL,?
2,4,1000,35,0,SMALL,?
11,11,2750,42,0,SMALL,?
2,2,500,14,0,BIG,?
2,5,1250,47,1,SMALL,?
9,8,2000,38,1,SMALL,?
4,6,1500,47,0,SMALL,?
11,7,1750,29,0,SMALL,?
9,9,2250,45,0,SMALL,?
4,6,1500,52,0,SMALL,?
4,7,1750,58,0,SMALL,?
6,2,500,11,1,BIG,?
4,7,1750,58,0,SMALL,?
11,9,2250,38,0,SMALL,?
11,6,1500,26,0,SMALL,?
2,2,500,16,0,BIG,?
2,7,1750,76,0,SMALL,?
11,6,1500,27,0,SMALL,?
11,3,750,14,0,SMALL,?
4,1,250,4,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,1,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,1,BIG,?
4,1,250,4,1,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,1,BIG,?
4,1,250,4,1,BIG,?
4,1,250,4,0,BIG,?
4,3,750,24,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,1,BIG,?
4,1,250,4,0,BIG,?
10,8,2000,39,0,SMALL,?
14,7,1750,26,0,SMALL,?
8,10,2500,63,0,SMALL,?
11,3,750,15,0,SMALL,?
4,2,500,14,0,BIG,?
2,4,1000,43,0,SMALL,?
8,9,2250,58,0,SMALL,?
8,8,2000,52,1,SMALL,?
11,22,5500,98,0,SMALL,?
4,3,750,25,1,BIG,?
11,17,4250,79,1,SMALL,?
9,2,500,11,0,BIG,?
4,5,1250,46,0,SMALL,?
11,12,3000,58,0,SMALL,?
7,12,3000,86,0,SMALL,?
11,2,500,11,0,BIG,?
11,2,500,11,0,BIG,?
11,2,500,11,0,BIG,?
2,6,1500,75,0,SMALL,?
11,8,2000,41,1,SMALL,?
11,3,750,16,1,SMALL,?
12,13,3250,59,0,SMALL,?
2,3,750,35,0,SMALL,?
16,8,2000,28,0,SMALL,?
11,7,1750,37,0,SMALL,?
4,3,750,28,0,BIG,?
12,12,3000,58,0,SMALL,?
4,4,1000,41,0,SMALL,?
11,14,3500,73,1,SMALL,?
2,2,500,23,0,BIG,?
2,3,750,38,1,SMALL,?
4,5,1250,58,0,SMALL,?
4,4,1000,43,1,SMALL,?
3,2,500,23,0,BIG,?
11,8,2000,46,0,SMALL,?
4,7,1750,82,0,SMALL,?
13,4,1000,21,0,SMALL,?
16,11,2750,40,0,SMALL,?
16,7,1750,28,0,SMALL,?
